"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-830 Mission Road" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,411 
"32-830 Mission Road" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"32-830 Mission Road" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,109 
"32-830 Mission Road" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,21 
"32-830 Mission Road" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,836 
"32-830 Mission Road" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,42 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,131 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,49 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,25 
"32-835 Old Harbor" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,5 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,13 
"32-835 Old Harbor" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,151 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,61 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,23 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,12 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,5 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,15 
"32-840 Ouzinkie" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,5 
"32-845 Port Lions" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-845 Port Lions" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"32-845 Port Lions" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,194 
"32-845 Port Lions" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,59 
"32-845 Port Lions" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"32-845 Port Lions" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,14 
"32-845 Port Lions" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"32-845 Port Lions" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,1 
"32-845 Port Lions" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"32-845 Port Lions" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,39 
"32-845 Port Lions" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,2 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,468 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,155 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,63 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,8 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,77 
"32-847 Seldovia/Kachemak Bay" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,3 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,138 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,22 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,11 
"32-850 Tatitlek" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,2 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,4 
"32-850 Tatitlek" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,1 
"32-855 Tyonek" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-855 Tyonek" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"32-855 Tyonek" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,354 
"32-855 Tyonek" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,45 
"32-855 Tyonek" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"32-855 Tyonek" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,32 
"32-855 Tyonek" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"32-855 Tyonek" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,1 
"32-855 Tyonek" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"32-855 Tyonek" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,3 
"32-855 Tyonek" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,4 
"32-860 Yakutat" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"32-860 Yakutat" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"32-860 Yakutat" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,458 
"32-860 Yakutat" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,219 
"32-860 Yakutat" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"32-860 Yakutat" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,102 
"32-860 Yakutat" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"32-860 Yakutat" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,16 
"32-860 Yakutat" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,5 
"32-860 Yakutat" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,86 
"32-860 Yakutat" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 
"33-500 Douglas" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-500 Douglas" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-500 Douglas" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1716 
"33-500 Douglas" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,709 
"33-500 Douglas" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"33-500 Douglas" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,456 
"33-500 Douglas" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"33-500 Douglas" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,41 
"33-500 Douglas" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,24 
"33-500 Douglas" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,156 
"33-500 Douglas" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"33-505 Gustavus" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-505 Gustavus" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-505 Gustavus" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,492 
"33-505 Gustavus" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,210 
"33-505 Gustavus" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"33-505 Gustavus" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,124 
"33-505 Gustavus" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"33-505 Gustavus" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,7 
"33-505 Gustavus" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,12 
"33-505 Gustavus" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,57 
"33-505 Gustavus" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,1 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2420 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,625 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,394 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,32 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,21 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,159 
"33-510 Juneau No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,13 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2446 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,841 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,632 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,34 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,18 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,126 
"33-515 Juneau No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1028 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,360 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,200 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,108 
"33-520 Juneau No. 3" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,9 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2001 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,672 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,293 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,40 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,18 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,281 
"33-525 Lemon Creek" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,21 
"33-530 North Douglas" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-530 North Douglas" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-530 North Douglas" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1536 
"33-530 North Douglas" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,596 
"33-530 North Douglas" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"33-530 North Douglas" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,369 
"33-530 North Douglas" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"33-530 North Douglas" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,47 
"33-530 North Douglas" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"33-530 North Douglas" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,150 
"33-530 North Douglas" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"33-540 Skagway" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-540 Skagway" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-540 Skagway" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1119 
"33-540 Skagway" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,453 
"33-540 Skagway" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"33-540 Skagway" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,229 
"33-540 Skagway" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"33-540 Skagway" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,35 
"33-540 Skagway" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,23 
"33-540 Skagway" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,129 
"33-540 Skagway" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,23 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2016 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,792 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,20 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,338 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,30 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,46 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,323 
"33-545 Haines No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,24 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,281 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,98 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,36 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,2 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,47 
"33-550 Haines No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,5 
"33-555 Klukwan" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"33-555 Klukwan" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"33-555 Klukwan" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,83 
"33-555 Klukwan" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,42 
"33-555 Klukwan" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"33-555 Klukwan" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,30 
"33-555 Klukwan" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"33-555 Klukwan" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,3 
"33-555 Klukwan" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"33-555 Klukwan" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,4 
"33-555 Klukwan" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,2 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1956 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,626 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,275 
"34-400 Auke Bay" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,38 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,18 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,272 
"34-400 Auke Bay" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1606 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,494 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,10 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,176 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,38 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,243 
"34-410 Juneau Airport" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,10 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1303 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,544 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,283 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,12 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,191 
"34-420 Lynn Canal" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2221 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,584 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,237 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,44 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,257 
"34-430 Mendenhall Valley No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,17 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2347 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,824 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,13 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,289 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,7 
"34-440 Mendenhall Valley No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,64 
